Comunidades y ciudades autónomas;Sexo;Número de penas;Periodo;Total
Total Nacional;Total;Total;2022;308.624
Total Nacional;Total;Total;2021;282.210
Total Nacional;Total;Total;2020;221.437
Total Nacional;Total;Total;2019;286.931
Total Nacional;Total;Total;2018;286.637
Total Nacional;Total;Total;2017;285.336
Total Nacional;Total;Total;2016;271.526
Total Nacional;Total;Total;2015;222.862
Total Nacional;Total;Total;2014;218.827
Total Nacional;Total;Total;2013;219.776
Total Nacional;Total;Condenados con una pena;2022;109.299
Total Nacional;Total;Condenados con una pena;2021;97.935
Total Nacional;Total;Condenados con una pena;2020;80.084
Total Nacional;Total;Condenados con una pena;2019;104.751
Total Nacional;Total;Condenados con una pena;2018;105.415
Total Nacional;Total;Condenados con una pena;2017;104.771
Total Nacional;Total;Condenados con una pena;2016;94.709
Total Nacional;Total;Condenados con una pena;2015;52.506
Total Nacional;Total;Condenados con una pena;2014;44.256
Total Nacional;Total;Condenados con una pena;2013;43.351
Total Nacional;Total;Condenados con dos penas;2022;94.580
Total Nacional;Total;Condenados con dos penas;2021;84.371
Total Nacional;Total;Condenados con dos penas;2020;66.124
Total Nacional;Total;Condenados con dos penas;2019;85.776
Total Nacional;Total;Condenados con dos penas;2018;87.260
Total Nacional;Total;Condenados con dos penas;2017;88.938
Total Nacional;Total;Condenados con dos penas;2016;89.703
Total Nacional;Total;Condenados con dos penas;2015;88.641
Total Nacional;Total;Condenados con dos penas;2014;92.699
Total Nacional;Total;Condenados con dos penas;2013;96.330
Total Nacional;Total;Condenados con tres penas;2022;34.945
Total Nacional;Total;Condenados con tres penas;2021;33.399
Total Nacional;Total;Condenados con tres penas;2020;25.853
Total Nacional;Total;Condenados con tres penas;2019;33.268
Total Nacional;Total;Condenados con tres penas;2018;33.725
Total Nacional;Total;Condenados con tres penas;2017;33.618
Total Nacional;Total;Condenados con tres penas;2016;32.624
Total Nacional;Total;Condenados con tres penas;2015;30.179
Total Nacional;Total;Condenados con tres penas;2014;30.998
Total Nacional;Total;Condenados con tres penas;2013;31.145
Total Nacional;Total;Condenados con cuatro penas;2022;28.794
Total Nacional;Total;Condenados con cuatro penas;2021;26.638
Total Nacional;Total;Condenados con cuatro penas;2020;20.787
Total Nacional;Total;Condenados con cuatro penas;2019;25.576
Total Nacional;Total;Condenados con cuatro penas;2018;24.702
Total Nacional;Total;Condenados con cuatro penas;2017;24.464
Total Nacional;Total;Condenados con cuatro penas;2016;23.692
Total Nacional;Total;Condenados con cuatro penas;2015;23.866
Total Nacional;Total;Condenados con cuatro penas;2014;23.167
Total Nacional;Total;Condenados con cuatro penas;2013;22.408
Total Nacional;Total;Condenados con cinco penas;2022;12.186
Total Nacional;Total;Condenados con cinco penas;2021;12.196
Total Nacional;Total;Condenados con cinco penas;2020;9.159
Total Nacional;Total;Condenados con cinco penas;2019;11.888
Total Nacional;Total;Condenados con cinco penas;2018;11.695
Total Nacional;Total;Condenados con cinco penas;2017;11.162
Total Nacional;Total;Condenados con cinco penas;2016;10.681
Total Nacional;Total;Condenados con cinco penas;2015;9.881
Total Nacional;Total;Condenados con cinco penas;2014;10.084
Total Nacional;Total;Condenados con cinco penas;2013;10.170
Total Nacional;Total;Condenados con seis o más penas;2022;28.820
Total Nacional;Total;Condenados con seis o más penas;2021;27.671
Total Nacional;Total;Condenados con seis o más penas;2020;19.430
Total Nacional;Total;Condenados con seis o más penas;2019;25.672
Total Nacional;Total;Condenados con seis o más penas;2018;23.840
Total Nacional;Total;Condenados con seis o más penas;2017;22.383
Total Nacional;Total;Condenados con seis o más penas;2016;20.117
Total Nacional;Total;Condenados con seis o más penas;2015;17.789
Total Nacional;Total;Condenados con seis o más penas;2014;17.623
Total Nacional;Total;Condenados con seis o más penas;2013;16.372
Total Nacional;Hombres;Total;2022;249.861
Total Nacional;Hombres;Total;2021;227.789
Total Nacional;Hombres;Total;2020;178.256
Total Nacional;Hombres;Total;2019;227.722
Total Nacional;Hombres;Total;2018;227.211
Total Nacional;Hombres;Total;2017;225.753
Total Nacional;Hombres;Total;2016;219.280
Total Nacional;Hombres;Total;2015;190.876
Total Nacional;Hombres;Total;2014;191.608
Total Nacional;Hombres;Total;2013;194.596
Total Nacional;Hombres;Condenados con una pena;2022;79.251
Total Nacional;Hombres;Condenados con una pena;2021;70.429
Total Nacional;Hombres;Condenados con una pena;2020;57.247
Total Nacional;Hombres;Condenados con una pena;2019;72.938
Total Nacional;Hombres;Condenados con una pena;2018;72.867
Total Nacional;Hombres;Condenados con una pena;2017;71.870
Total Nacional;Hombres;Condenados con una pena;2016;66.966
Total Nacional;Hombres;Condenados con una pena;2015;41.474
Total Nacional;Hombres;Condenados con una pena;2014;37.601
Total Nacional;Hombres;Condenados con una pena;2013;37.336
Total Nacional;Hombres;Condenados con dos penas;2022;79.046
Total Nacional;Hombres;Condenados con dos penas;2021;70.561
Total Nacional;Hombres;Condenados con dos penas;2020;55.366
Total Nacional;Hombres;Condenados con dos penas;2019;71.560
Total Nacional;Hombres;Condenados con dos penas;2018;73.037
