Lugar de condena;Edad del infractor;Periodo;Total
Total Nacional;Total ;2022;426.416
Total Nacional;Total ;2021;410.842
Total Nacional;Total ;2020;311.271
Total Nacional;Total ;2019;412.571
Total Nacional;Total ;2018;406.327
Total Nacional;Total ;2017;394.301
Total Nacional;Total ;2016;365.202
Total Nacional;Total ;2015;288.756
Total Nacional;Total ;2014;277.956
Total Nacional;Total ;2013;275.196
Total Nacional;De 18 a 20 años;2022;33.789
Total Nacional;De 18 a 20 años;2021;33.550
Total Nacional;De 18 a 20 años;2020;25.766
Total Nacional;De 18 a 20 años;2019;35.039
Total Nacional;De 18 a 20 años;2018;34.674
Total Nacional;De 18 a 20 años;2017;35.394
Total Nacional;De 18 a 20 años;2016;32.558
Total Nacional;De 18 a 20 años;2015;24.815
Total Nacional;De 18 a 20 años;2014;23.566
Total Nacional;De 18 a 20 años;2013;24.006
Total Nacional;De 21 a 25 años;2022;57.063
Total Nacional;De 21 a 25 años;2021;55.212
Total Nacional;De 21 a 25 años;2020;42.400
Total Nacional;De 21 a 25 años;2019;58.013
Total Nacional;De 21 a 25 años;2018;58.605
Total Nacional;De 21 a 25 años;2017;57.827
Total Nacional;De 21 a 25 años;2016;54.388
Total Nacional;De 21 a 25 años;2015;43.886
Total Nacional;De 21 a 25 años;2014;43.113
Total Nacional;De 21 a 25 años;2013;42.975
Total Nacional;De 26 a 30 años;2022;58.646
Total Nacional;De 26 a 30 años;2021;57.297
Total Nacional;De 26 a 30 años;2020;43.119
Total Nacional;De 26 a 30 años;2019;58.714
Total Nacional;De 26 a 30 años;2018;58.277
Total Nacional;De 26 a 30 años;2017;57.025
Total Nacional;De 26 a 30 años;2016;54.334
Total Nacional;De 26 a 30 años;2015;43.815
Total Nacional;De 26 a 30 años;2014;43.125
Total Nacional;De 26 a 30 años;2013;43.865
Total Nacional;De 31 a 35 años;2022;60.174
Total Nacional;De 31 a 35 años;2021;57.859
Total Nacional;De 31 a 35 años;2020;44.459
Total Nacional;De 31 a 35 años;2019;59.368
Total Nacional;De 31 a 35 años;2018;60.125
Total Nacional;De 31 a 35 años;2017;57.788
Total Nacional;De 31 a 35 años;2016;54.364
Total Nacional;De 31 a 35 años;2015;44.923
Total Nacional;De 31 a 35 años;2014;44.502
Total Nacional;De 31 a 35 años;2013;44.282
Total Nacional;De 36 a 40 años;2022;59.460
Total Nacional;De 36 a 40 años;2021;57.961
Total Nacional;De 36 a 40 años;2020;44.070
Total Nacional;De 36 a 40 años;2019;58.315
Total Nacional;De 36 a 40 años;2018;57.673
Total Nacional;De 36 a 40 años;2017;56.029
Total Nacional;De 36 a 40 años;2016;51.193
Total Nacional;De 36 a 40 años;2015;41.247
Total Nacional;De 36 a 40 años;2014;39.384
Total Nacional;De 36 a 40 años;2013;38.768
Total Nacional;De 41 a 50 años;2022;93.935
Total Nacional;De 41 a 50 años;2021;89.114
Total Nacional;De 41 a 50 años;2020;67.822
Total Nacional;De 41 a 50 años;2019;87.141
Total Nacional;De 41 a 50 años;2018;84.504
Total Nacional;De 41 a 50 años;2017;80.207
Total Nacional;De 41 a 50 años;2016;74.091
Total Nacional;De 41 a 50 años;2015;57.818
Total Nacional;De 41 a 50 años;2014;54.824
Total Nacional;De 41 a 50 años;2013;53.198
Total Nacional;De 51 a 60 años;2022;44.891
Total Nacional;De 51 a 60 años;2021;42.439
Total Nacional;De 51 a 60 años;2020;31.043
Total Nacional;De 51 a 60 años;2019;39.231
Total Nacional;De 51 a 60 años;2018;37.106
Total Nacional;De 51 a 60 años;2017;35.170
Total Nacional;De 51 a 60 años;2016;31.391
Total Nacional;De 51 a 60 años;2015;23.546
Total Nacional;De 51 a 60 años;2014;21.686
Total Nacional;De 51 a 60 años;2013;20.739
Total Nacional;De 61 a 70 años;2022;13.965
Total Nacional;De 61 a 70 años;2021;13.284
Total Nacional;De 61 a 70 años;2020;9.631
Total Nacional;De 61 a 70 años;2019;12.794
Total Nacional;De 61 a 70 años;2018;11.616
Total Nacional;De 61 a 70 años;2017;11.320
Total Nacional;De 61 a 70 años;2016;9.824
Total Nacional;De 61 a 70 años;2015;6.924
Total Nacional;De 61 a 70 años;2014;6.214
Total Nacional;De 61 a 70 años;2013;5.874
Total Nacional;71 y más años;2022;4.493
Total Nacional;71 y más años;2021;4.126
