Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Total Nacional;Todas las edades;Ambos sexos;2021;25.896,82
Total Nacional;Todas las edades;Ambos sexos;2020;25.165,51
Total Nacional;Todas las edades;Ambos sexos;2019;24.395,98
Total Nacional;Todas las edades;Ambos sexos;2018;24.009,12
Total Nacional;Todas las edades;Ambos sexos;2017;23.646,5
Total Nacional;Todas las edades;Ambos sexos;2016;23.156,34
Total Nacional;Todas las edades;Ambos sexos;2015;23.106,3
Total Nacional;Todas las edades;Ambos sexos;2014;22.858,17
Total Nacional;Todas las edades;Ambos sexos;2013;22.697,86
Total Nacional;Todas las edades;Ambos sexos;2012;22.726,44
Total Nacional;Todas las edades;Ambos sexos;2011;22.899,35
Total Nacional;Todas las edades;Ambos sexos;2010;22.790,2
Total Nacional;Todas las edades;Ambos sexos;2009;22.511,47
Total Nacional;Todas las edades;Ambos sexos;2008;21.883,42
Total Nacional;Todas las edades;Mujeres;2021;23.175,95
Total Nacional;Todas las edades;Mujeres;2020;22.467,48
Total Nacional;Todas las edades;Mujeres;2019;21.682,02
Total Nacional;Todas las edades;Mujeres;2018;21.011,89
Total Nacional;Todas las edades;Mujeres;2017;20.607,85
Total Nacional;Todas las edades;Mujeres;2016;20.131,41
Total Nacional;Todas las edades;Mujeres;2015;20.051,58
Total Nacional;Todas las edades;Mujeres;2014;19.744,82
Total Nacional;Todas las edades;Mujeres;2013;19.514,58
Total Nacional;Todas las edades;Mujeres;2012;19.537,33
Total Nacional;Todas las edades;Mujeres;2011;19.767,59
Total Nacional;Todas las edades;Mujeres;2010;19.735,22
Total Nacional;Todas las edades;Mujeres;2009;19.502,02
Total Nacional;Todas las edades;Mujeres;2008;18.910,62
Total Nacional;Todas las edades;Hombres;2021;28.388,69
Total Nacional;Todas las edades;Hombres;2020;27.642,52
Total Nacional;Todas las edades;Hombres;2019;26.934,38
Total Nacional;Todas las edades;Hombres;2018;26.738,19
Total Nacional;Todas las edades;Hombres;2017;26.391,84
Total Nacional;Todas las edades;Hombres;2016;25.924,43
Total Nacional;Todas las edades;Hombres;2015;25.992,76
Total Nacional;Todas las edades;Hombres;2014;25.727,24
Total Nacional;Todas las edades;Hombres;2013;25.675,17
Total Nacional;Todas las edades;Hombres;2012;25.682,05
Total Nacional;Todas las edades;Hombres;2011;25.667,89
Total Nacional;Todas las edades;Hombres;2010;25.479,74
Total Nacional;Todas las edades;Hombres;2009;25.001,05
Total Nacional;Todas las edades;Hombres;2008;24.203,33
Total Nacional;Menos de 25 años;Ambos sexos;2021;12.930,13
Total Nacional;Menos de 25 años;Ambos sexos;2020;12.693,72
Total Nacional;Menos de 25 años;Ambos sexos;2019;12.270,4
Total Nacional;Menos de 25 años;Ambos sexos;2018;12.417,98
Total Nacional;Menos de 25 años;Ambos sexos;2017;11.472,81
Total Nacional;Menos de 25 años;Ambos sexos;2016;11.046,39
Total Nacional;Menos de 25 años;Ambos sexos;2015;11.039,53
Total Nacional;Menos de 25 años;Ambos sexos;2014;11.560,18
Total Nacional;Menos de 25 años;Ambos sexos;2013;10.506,14
Total Nacional;Menos de 25 años;Ambos sexos;2012;11.077,39
Total Nacional;Menos de 25 años;Ambos sexos;2011;11.954,86
Total Nacional;Menos de 25 años;Ambos sexos;2010;13.154,92
Total Nacional;Menos de 25 años;Ambos sexos;2009;12.565,99
Total Nacional;Menos de 25 años;Ambos sexos;2008;12.953,62
Total Nacional;Menos de 25 años;Mujeres;2021;11.498,86
Total Nacional;Menos de 25 años;Mujeres;2020;11.333,14
Total Nacional;Menos de 25 años;Mujeres;2019;11.103,13
Total Nacional;Menos de 25 años;Mujeres;2018;10.735,83
Total Nacional;Menos de 25 años;Mujeres;2017;9.933,23
Total Nacional;Menos de 25 años;Mujeres;2016;9.488,25
Total Nacional;Menos de 25 años;Mujeres;2015;9.534,67
Total Nacional;Menos de 25 años;Mujeres;2014;10.316,86
Total Nacional;Menos de 25 años;Mujeres;2013;9.272,53
Total Nacional;Menos de 25 años;Mujeres;2012;9.920,38
Total Nacional;Menos de 25 años;Mujeres;2011;10.723,02
Total Nacional;Menos de 25 años;Mujeres;2010;11.715,82
Total Nacional;Menos de 25 años;Mujeres;2009;11.258,44
Total Nacional;Menos de 25 años;Mujeres;2008;11.370,81
Total Nacional;Menos de 25 años;Hombres;2021;14.056,13
Total Nacional;Menos de 25 años;Hombres;2020;13.783,6
Total Nacional;Menos de 25 años;Hombres;2019;13.227,44
Total Nacional;Menos de 25 años;Hombres;2018;13.723,63
Total Nacional;Menos de 25 años;Hombres;2017;12.788,5
Total Nacional;Menos de 25 años;Hombres;2016;12.358,6
Total Nacional;Menos de 25 años;Hombres;2015;12.454,32
Total Nacional;Menos de 25 años;Hombres;2014;12.820,34
Total Nacional;Menos de 25 años;Hombres;2013;11.657,67
Total Nacional;Menos de 25 años;Hombres;2012;12.171,86
Total Nacional;Menos de 25 años;Hombres;2011;13.134,45
Total Nacional;Menos de 25 años;Hombres;2010;14.596,44
Total Nacional;Menos de 25 años;Hombres;2009;13.681,87
Total Nacional;Menos de 25 años;Hombres;2008;14.279,19
Total Nacional;De 25 a 34 años;Ambos sexos;2021;20.848,08
Total Nacional;De 25 a 34 años;Ambos sexos;2020;20.090,9
Total Nacional;De 25 a 34 años;Ambos sexos;2019;19.563,03
Total Nacional;De 25 a 34 años;Ambos sexos;2018;19.350,14
Total Nacional;De 25 a 34 años;Ambos sexos;2017;18.505,53
Total Nacional;De 25 a 34 años;Ambos sexos;2016;17.978,45
Total Nacional;De 25 a 34 años;Ambos sexos;2015;18.251,51
Total Nacional;De 25 a 34 años;Ambos sexos;2014;18.680,42
Total Nacional;De 25 a 34 años;Ambos sexos;2013;17.973,39
Total Nacional;De 25 a 34 años;Ambos sexos;2012;18.689,58
Total Nacional;De 25 a 34 años;Ambos sexos;2011;19.269,23
Total Nacional;De 25 a 34 años;Ambos sexos;2010;19.772,21
Total Nacional;De 25 a 34 años;Ambos sexos;2009;19.476,35
Total Nacional;De 25 a 34 años;Ambos sexos;2008;19.206,37
Total Nacional;De 25 a 34 años;Mujeres;2021;19.066,9
Total Nacional;De 25 a 34 años;Mujeres;2020;18.402,04
Total Nacional;De 25 a 34 años;Mujeres;2019;17.997,58
Total Nacional;De 25 a 34 años;Mujeres;2018;17.549,39
Total Nacional;De 25 a 34 años;Mujeres;2017;16.810,12
Total Nacional;De 25 a 34 años;Mujeres;2016;16.372,85
Total Nacional;De 25 a 34 años;Mujeres;2015;16.591,95
Total Nacional;De 25 a 34 años;Mujeres;2014;17.071,04
Total Nacional;De 25 a 34 años;Mujeres;2013;16.263,92
Total Nacional;De 25 a 34 años;Mujeres;2012;16.836,97
Total Nacional;De 25 a 34 años;Mujeres;2011;17.399,38
Total Nacional;De 25 a 34 años;Mujeres;2010;17.975,69
Total Nacional;De 25 a 34 años;Mujeres;2009;17.688,08
Total Nacional;De 25 a 34 años;Mujeres;2008;17.359,07
Total Nacional;De 25 a 34 años;Hombres;2021;22.431,07
Total Nacional;De 25 a 34 años;Hombres;2020;21.627,57
Total Nacional;De 25 a 34 años;Hombres;2019;21.026,9
Total Nacional;De 25 a 34 años;Hombres;2018;21.101,42
Total Nacional;De 25 a 34 años;Hombres;2017;20.057,08
Total Nacional;De 25 a 34 años;Hombres;2016;19.501,28
Total Nacional;De 25 a 34 años;Hombres;2015;19.910,23
Total Nacional;De 25 a 34 años;Hombres;2014;20.278,69
Total Nacional;De 25 a 34 años;Hombres;2013;19.766,54
Total Nacional;De 25 a 34 años;Hombres;2012;20.708,77
Total Nacional;De 25 a 34 años;Hombres;2011;21.189,68
Total Nacional;De 25 a 34 años;Hombres;2010;21.542,06
Total Nacional;De 25 a 34 años;Hombres;2009;21.167,86
Total Nacional;De 25 a 34 años;Hombres;2008;20.889,15
Total Nacional;De 35 a 44 años;Ambos sexos;2021;25.615,45
Total Nacional;De 35 a 44 años;Ambos sexos;2020;25.039,08
Total Nacional;De 35 a 44 años;Ambos sexos;2019;24.631,46
Total Nacional;De 35 a 44 años;Ambos sexos;2018;24.380,69
Total Nacional;De 35 a 44 años;Ambos sexos;2017;23.690,34
Total Nacional;De 35 a 44 años;Ambos sexos;2016;23.299,99
Total Nacional;De 35 a 44 años;Ambos sexos;2015;23.335,61
Total Nacional;De 35 a 44 años;Ambos sexos;2014;23.503,84
Total Nacional;De 35 a 44 años;Ambos sexos;2013;23.232,4
Total Nacional;De 35 a 44 años;Ambos sexos;2012;23.519,76
Total Nacional;De 35 a 44 años;Ambos sexos;2011;23.830,08
Total Nacional;De 35 a 44 años;Ambos sexos;2010;23.732,38
Total Nacional;De 35 a 44 años;Ambos sexos;2009;23.299,64
Total Nacional;De 35 a 44 años;Ambos sexos;2008;22.977
Total Nacional;De 35 a 44 años;Mujeres;2021;23.035
Total Nacional;De 35 a 44 años;Mujeres;2020;22.384,42
Total Nacional;De 35 a 44 años;Mujeres;2019;21.860,02
Total Nacional;De 35 a 44 años;Mujeres;2018;21.537,52
Total Nacional;De 35 a 44 años;Mujeres;2017;20.934,3
Total Nacional;De 35 a 44 años;Mujeres;2016;20.577,07
Total Nacional;De 35 a 44 años;Mujeres;2015;20.593,48
Total Nacional;De 35 a 44 años;Mujeres;2014;20.625,07
Total Nacional;De 35 a 44 años;Mujeres;2013;20.171,73
Total Nacional;De 35 a 44 años;Mujeres;2012;20.462,51
Total Nacional;De 35 a 44 años;Mujeres;2011;20.796,81
Total Nacional;De 35 a 44 años;Mujeres;2010;20.828,12
Total Nacional;De 35 a 44 años;Mujeres;2009;20.246
Total Nacional;De 35 a 44 años;Mujeres;2008;19.878,11
Total Nacional;De 35 a 44 años;Hombres;2021;27.956,4
Total Nacional;De 35 a 44 años;Hombres;2020;27.496,33
Total Nacional;De 35 a 44 años;Hombres;2019;27.263,73
Total Nacional;De 35 a 44 años;Hombres;2018;27.001,31
Total Nacional;De 35 a 44 años;Hombres;2017;26.224,32
Total Nacional;De 35 a 44 años;Hombres;2016;25.808,9
Total Nacional;De 35 a 44 años;Hombres;2015;25.930,81
Total Nacional;De 35 a 44 años;Hombres;2014;26.205,34
Total Nacional;De 35 a 44 años;Hombres;2013;26.079,85
Total Nacional;De 35 a 44 años;Hombres;2012;26.309,61
Total Nacional;De 35 a 44 años;Hombres;2011;26.483,36
Total Nacional;De 35 a 44 años;Hombres;2010;26.278
Total Nacional;De 35 a 44 años;Hombres;2009;25.917,59
Total Nacional;De 35 a 44 años;Hombres;2008;25.461,35
Total Nacional;De 45 a 54 años;Ambos sexos;2021;28.219,62
Total Nacional;De 45 a 54 años;Ambos sexos;2020;27.499,9
Total Nacional;De 45 a 54 años;Ambos sexos;2019;26.885,8
Total Nacional;De 45 a 54 años;Ambos sexos;2018;26.416,99
Total Nacional;De 45 a 54 años;Ambos sexos;2017;25.949,73
Total Nacional;De 45 a 54 años;Ambos sexos;2016;25.499,02
Total Nacional;De 45 a 54 años;Ambos sexos;2015;25.474,81
Total Nacional;De 45 a 54 años;Ambos sexos;2014;25.420,53
Total Nacional;De 45 a 54 años;Ambos sexos;2013;25.229,32
Total Nacional;De 45 a 54 años;Ambos sexos;2012;25.258,59
Total Nacional;De 45 a 54 años;Ambos sexos;2011;25.834,68
Total Nacional;De 45 a 54 años;Ambos sexos;2010;25.818,68
Total Nacional;De 45 a 54 años;Ambos sexos;2009;25.447,11
Total Nacional;De 45 a 54 años;Ambos sexos;2008;25.016,17
Total Nacional;De 45 a 54 años;Mujeres;2021;24.952,13
Total Nacional;De 45 a 54 años;Mujeres;2020;24.280,1
