Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2023T2;11,60
Ambos sexos;Total Nacional;Total;2023T1;13,26
Ambos sexos;01 Andalucía;Total;2023T2;18,05
Ambos sexos;01 Andalucía;Total;2023T1;18,31
Ambos sexos;02 Aragón;Total;2023T2;8,59
Ambos sexos;02 Aragón;Total;2023T1;8,94
Ambos sexos;03 Asturias, Principado de;Total;2023T2;10,45
Ambos sexos;03 Asturias, Principado de;Total;2023T1;13,06
Ambos sexos;04 Balears, Illes;Total;2023T2;7,15
Ambos sexos;04 Balears, Illes;Total;2023T1;18,14
Ambos sexos;05 Canarias;Total;2023T2;15,25
Ambos sexos;05 Canarias;Total;2023T1;17,17
Ambos sexos;06 Cantabria;Total;2023T2;8,12
Ambos sexos;06 Cantabria;Total;2023T1;9,29
Ambos sexos;07 Castilla y León;Total;2023T2;9,06
Ambos sexos;07 Castilla y León;Total;2023T1;10,28
Ambos sexos;08 Castilla - La Mancha;Total;2023T2;13,01
Ambos sexos;08 Castilla - La Mancha;Total;2023T1;15,02
Ambos sexos;09 Cataluña;Total;2023T2;8,44
Ambos sexos;09 Cataluña;Total;2023T1;10,37
Ambos sexos;10 Comunitat Valenciana;Total;2023T2;12,20
Ambos sexos;10 Comunitat Valenciana;Total;2023T1;13,78
Ambos sexos;11 Extremadura;Total;2023T2;17,05
Ambos sexos;11 Extremadura;Total;2023T1;19,53
Ambos sexos;12 Galicia;Total;2023T2;9,58
Ambos sexos;12 Galicia;Total;2023T1;10,90
Ambos sexos;13 Madrid, Comunidad de;Total;2023T2;9,56
Ambos sexos;13 Madrid, Comunidad de;Total;2023T1;11,01
Ambos sexos;14 Murcia, Región de;Total;2023T2;12,35
Ambos sexos;14 Murcia, Región de;Total;2023T1;13,48
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2023T2;8,79
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2023T1;12,13
Ambos sexos;16 País Vasco;Total;2023T2;7,13
Ambos sexos;16 País Vasco;Total;2023T1;8,44
Ambos sexos;17 Rioja, La;Total;2023T2;7,46
Ambos sexos;17 Rioja, La;Total;2023T1;10,06
Ambos sexos;18 Ceuta;Total;2023T2;27,37
Ambos sexos;18 Ceuta;Total;2023T1;23,97
Ambos sexos;19 Melilla;Total;2023T2;19,42
Ambos sexos;19 Melilla;Total;2023T1;26,06
